PRODUCT_LINE,ITEM_NUMBER,ITEM_RANK,BR_ID,2016_03_ACTUAL,2016_03_MSF_FORECAST,2016_03_RF_FORECAST
,,C,85,9,6,5
,,C,81,28,15,17
,,C,82,8,6,6
,,C,83,7,5,4
,,C,84,19,9,11
,,C,85,12,10,12
,,A,81,884,181,112
,,A,82,72,34,52
,,A,83,8,11,23
,,A,84,48,16,36
,,A,85,9,10,25
,,C,81,8,5,5
,,C,82,0,1,1
,,C,83,3,3,2
,,C,84,6,10,8
,,C,85,11,12,12
,,B,81,15,24,25
,,B,82,17,17,15
,,B,83,7,7,7
,,B,84,7,14,15
,,B,85,10,16,12
,,C,81,37,17,19
,,C,82,4,5,5
,,C,83,10,4,4
,,C,84,22,10,10
,,C,85,18,9,11
,,A,81,807,194,116
,,A,82,60,31,53
,,A,83,3,11,21
,,A,84,45,21,41
,,A,85,16,13,22
,,C,81,8,5,5
,,C,82,0,1,1
,,C,83,1,3,2
,,C,84,3,10,8
,,C,85,8,10,9
,,B,81,32,27,24
,,B,82,17,18,17
,,B,83,11,7,7
,,B,84,14,15,15
,,B,85,16,16,13
,,D,81,16,8,6
,,D,82,3,1,1
,,D,83,2,3,2
,,D,84,3,5,5
,,D,85,4,2,2
,,D,81,10,9,6
,,D,82,3,1,1
,,D,83,1,4,3
,,D,84,4,5,4
,,D,85,2,3,2
,,D,81,0,12,2
,,D,82,0,6,1
,,D,83,0,8,3
,,D,84,3,40,9
,,D,85,0,6,0
,,B,81,300,255,177
,,B,82,17,22,22
,,B,83,56,21,23
,,B,84,45,29,32
,,B,85,13,21,21
,,D,81,7,9,7
,,D,82,3,1,1
,,D,83,2,7,6
,,D,84,10,7,7
,,D,85,10,7,7
,,D,81,0,27,3
,,D,82,0,6,1
,,D,83,0,8,3
,,D,84,5,41,9
,,D,85,2,8,1
,,B,81,344,259,151
,,B,82,15,22,22
,,B,83,56,23,22
,,B,84,46,24,30
,,B,85,21,20,23
,,D,81,7,9,8
,,D,82,5,2,2
,,D,83,7,10,10
,,D,84,5,6,6
,,D,85,6,8,7
,,D,81,16,10,8
,,D,82,0,2,1
,,D,83,7,4,3
,,D,84,8,5,4
,,D,85,2,4,3
,,C,81,273,39,33
,,C,82,4,7,7
,,C,83,14,9,7
,,C,84,14,10,9
,,C,85,3,5,4
,,D,81,4,2,1
,,D,82,2,2,1
,,D,83,2,3,2
,,D,84,5,4,4
,,D,85,3,3,2
,,D,81,10,9,8
,,D,82,4,2,1
,,D,83,6,4,3
,,D,84,9,5,5
,,D,85,3,4,2
,,C,81,49,36,23
,,C,82,8,7,7
,,C,83,0,7,5
,,C,84,10,8,7
,,C,85,0,4,4
,,D,81,0,2,2
,,D,82,0,4,3
,,D,83,6,3,2
,,D,84,4,4,3
,,D,85,5,4,3
,,C,81,107,65,36
,,C,82,15,11,9
,,C,83,5,6,5
,,C,84,28,16,13
,,C,85,1,6,5
,,D,81,2,2,1
,,D,82,1,1,1
,,D,83,4,3,2
,,D,84,2,4,3
,,D,85,7,5,4
,,C,81,82,68,41
,,C,82,16,11,10
,,C,83,8,6,6
,,C,84,20,16,12
,,C,85,5,8,6
,,D,81,1,3,3
,,D,82,1,1,1
,,D,83,4,3,3
,,D,84,3,4,3
,,D,85,3,5,4
,,D,81,15,12,8
,,D,82,5,4,3
,,D,83,1,4,3
,,D,84,1,2,2
,,D,85,3,3,2
,,D,81,16,13,9
,,D,82,1,4,3
,,D,83,1,4,3
,,D,84,0,2,1
,,D,85,2,3,3
,,D,81,1,21,4
,,D,82,0,6,1
,,D,83,0,9,4
,,D,84,2,11,2
,,D,85,0,11,1
,,C,81,105,61,47
,,C,82,6,11,19
,,C,83,8,7,10
,,C,84,25,14,22
,,C,85,5,5,8
,,D,81,1,24,1
,,D,82,0,6,1
,,D,83,0,8,2
,,D,84,1,21,3
